Dracula,Bram Stoker,488,1897,"['classics', 'horror', 'fiction', 'fantasy', 'paranormal', 'vampires', 'gothic', 'fantasy', 'paranormal', 'literature', 'audiobook', 'literature', '19th-century']",1002518,4.0,http://www.goodreads.com/book/show/17245.Dracula
The Lightning Thief,Rick Riordan,377,2005,"['fantasy', 'young-adult', 'fantasy', 'mythology', 'fiction', 'childrens', 'middle-grade', 'adventure', 'childrens', 'fantasy', 'urban-fantasy', 'mythology', 'greek-mythology', 'fantasy', 'magic']",2164869,4.26,http://www.goodreads.com/book/show/28187.The_Lightning_Thief
Brave New World,Aldous Huxley,268,1932,"['classics', 'fiction', 'science-fiction', 'science-fiction', 'dystopia', 'literature', 'novels', 'academic', 'school', 'fantasy', 'philosophy', 'science-fiction-fantasy']",1526573,3.99,http://www.goodreads.com/book/show/5129.Brave_New_World
One Hundred Years of Solitude,Gabriel García Márquez,417,1967,"['fiction', 'classics', 'magical-realism', 'literature', 'novels', 'fantasy', 'historical', 'historical-fiction', 'european-literature', 'spanish-literature', 'literary-fiction', 'cultural', 'latin-american']",796839,4.09,http://www.goodreads.com/book/show/320.One_Hundred_Years_of_Solitude
The Catcher in the Rye,J.D. Salinger,277,1951,"['classics', 'fiction', 'young-adult', 'literature', 'academic', 'school', 'novels', 'young-adult', 'coming-of-age', 'young-adult', 'high-school', 'literature', 'american', 'academic', 'read-for-school']",2887578,3.81,http://www.goodreads.com/book/show/5107.The_Catcher_in_the_Rye
The Princess Bride,William Goldman,456,1973,"['fantasy', 'fiction', 'classics', 'romance', 'humor', 'young-adult', 'adventure', 'science-fiction-fantasy', 'humor', 'comedy', 'fantasy', 'fairy-tales']",813581,4.25,http://www.goodreads.com/book/show/21787.The_Princess_Bride
The Secret Garden,Frances Hodgson Burnett,331,1910,"['classics', 'fiction', 'childrens', 'young-adult', 'historical', 'historical-fiction', 'childrens', 'middle-grade', 'fantasy', 'literature', 'historical', 'audiobook']",956205,4.13,http://www.goodreads.com/book/show/2998.The_Secret_Garden
A Thousand Splendid Suns,Khaled Hosseini,372,2007,"['fiction', 'historical', 'historical-fiction', 'contemporary', 'novels', 'historical', 'war', 'adult', 'adult-fiction', 'drama', 'literature']",1223841,4.38,http://www.goodreads.com/book/show/128029.A_Thousand_Splendid_Suns
A Game of Thrones,George R.R. Martin,835,1996,"['fantasy', 'fiction', 'fantasy', 'epic-fantasy', 'adult', 'science-fiction-fantasy', 'fantasy', 'high-fantasy', 'adventure', 'audiobook', 'fantasy', 'dragons', 'epic']",2104983,4.44,http://www.goodreads.com/book/show/13496.A_Game_of_Thrones
A Wrinkle in Time,Madeleine L'Engle,218,1962,"['fantasy', 'fiction', 'classics', 'young-adult', 'science-fiction', 'childrens', 'childrens', 'middle-grade', 'science-fiction', 'time-travel', 'adventure', 'science-fiction-fantasy']",1088683,3.99,http://www.goodreads.com/book/show/33574273-a-wrinkle-in-time
The Outsiders,S.E. Hinton,192,1967,"['classics', 'young-adult', 'fiction', 'academic', 'school', 'academic', 'read-for-school', 'realistic-fiction', 'young-adult', 'coming-of-age', 'historical', 'historical-fiction', 'contemporary', 'young-adult', 'teen']",1007694,4.1,http://www.goodreads.com/book/show/231804.The_Outsiders
The Adventures of Huckleberry Finn,Mark Twain,327,1884,"['classics', 'fiction', 'historical', 'historical-fiction', 'literature', 'young-adult', 'adventure', 'academic', 'school', 'novels', 'academic', 'read-for-school', 'literature', 'american']",1181993,3.82,http://www.goodreads.com/book/show/2956.The_Adventures_of_Huckleberry_Finn
The Lovely Bones,Alice Sebold,372,2002,"['fiction', 'mystery', 'young-adult', 'contemporary', 'fantasy', 'mystery', 'crime', 'adult', 'adult-fiction', 'drama', 'thriller']",2100667,3.82,http://www.goodreads.com/book/show/12232938-the-lovely-bones
Where the Wild Things Are,Maurice Sendak,38,1963,"['childrens', 'childrens', 'picture-books', 'fiction', 'classics', 'fantasy', 'adventure', 'young-adult', 'animals', 'kids', 'folklore', 'monsters']",865376,4.21,http://www.goodreads.com/book/show/19543.Where_the_Wild_Things_Are
The Odyssey,Homer,541,800,"['classics', 'fiction', 'poetry', 'fantasy', 'mythology', 'fantasy', 'academic', 'school', 'literature', 'adventure', 'academic', 'read-for-school', 'historical', 'historical-fiction']",901780,3.78,http://www.goodreads.com/book/show/1381.The_Odyssey
Green Eggs and Ham,Dr. Seuss,64,1960,"['childrens', 'childrens', 'picture-books', 'classics', 'fiction', 'poetry', 'fantasy', 'humor', 'kids', 'food-and-drink', 'food', 'young-adult']",659728,4.29,http://www.goodreads.com/book/show/23772.Green_Eggs_and_Ham
Life of Pi,Yann Martel,460,2001,"['fiction', 'fantasy', 'classics', 'adventure', 'contemporary', 'novels', 'magical-realism', 'literature', 'cultural', 'india', 'philosophy']",1403906,3.92,http://www.goodreads.com/book/show/4214.Life_of_Pi
A Tale of Two Cities,Charles Dickens,489,1859,"['classics', 'fiction', 'historical', 'historical-fiction', 'literature', 'historical', 'novels', 'academic', 'school', 'classics', 'classic-literature', 'literature', '19th-century', 'european-literature', 'british-literature']",840174,3.85,http://www.goodreads.com/book/show/1953.A_Tale_of_Two_Cities
Water for Elephants,Sara Gruen,335,2006,"['fiction', 'historical', 'historical-fiction', 'romance', 'historical', 'adult', 'adult-fiction', 'contemporary', 'book-club', 'novels', 'audiobook']",1437286,4.09,http://www.goodreads.com/book/show/43641.Water_for_Elephants
Lolita,Vladimir Nabokov,331,1955,"['classics', 'fiction', 'literature', 'novels', 'cultural', 'russia', 'romance', 'literature', 'russian-literature', 'literary-fiction', 'literature', '20th-century', 'adult']",697108,3.89,http://www.goodreads.com/book/show/7604.Lolita
The Kite Runner,Khaled Hosseini,371,2003,"['fiction', 'historical', 'historical-fiction', 'contemporary', 'classics', 'novels', 'historical', 'adult', 'literature', 'adult-fiction', 'drama']",2567038,4.31,http://www.goodreads.com/book/show/77203.The_Kite_Runner
Slaughterhouse-Five,Kurt Vonnegut Jr.,275,1969,"['classics', 'fiction', 'science-fiction', 'war', 'historical', 'historical-fiction', 'literature', 'novels', 'science-fiction', 'time-travel', 'literature', 'american', 'fantasy']",1183745,4.08,http://www.goodreads.com/book/show/4981.Slaughterhouse_Five
Frankenstein: The 1818 Text,Mary Wollstonecraft Shelley,260,1818,"['classics', 'fiction', 'horror', 'science-fiction', 'gothic', 'fantasy', 'academic', 'school', 'literature', 'novels', 'academic', 'read-for-school']",1235243,3.82,http://www.goodreads.com/book/show/35031085-frankenstein
