Fugly,Mimi Jean Pamfiloff,No encontrado,2015,"['romance', 'romance', 'contemporary-romance', 'contemporary', 'new-adult', 'adult', 'fiction', 'womens-fiction', 'chick-lit', 'humor', 'adult-fiction', 'erotica', 'romance', 'm-f-romance']",5222,3.92,http://www.goodreads.com/book/show/26119524-fugly
Miscellaneous Stuff & Stuff,Jim Henry,No encontrado,2013,[],18,3.67,http://www.goodreads.com/book/show/17563755-miscellaneous-stuff-stuff
Betrayal In Blue,Mark M. Bello,No encontrado,2018,"['contemporary', 'drama', 'novels', 'epic']",918,4.32,http://www.goodreads.com/book/show/41591675-betrayal-in-blue
مثنوی معنوی,Rumi,No encontrado,2010,"['poetry', 'philosophy', 'literature', 'classics', 'religion', 'spirituality', 'religion', 'islam', 'occult', 'mysticism', 'non-fiction', 'unfinished']",3738,4.46,http://www.goodreads.com/book/show/814318._
Another Sunny Day,D.K.  Janotta,No encontrado,2020,"['contemporary', 'novels', 'drama', 'epic', 'fiction']",244,4.41,http://www.goodreads.com/book/show/55897948-another-sunny-day
The Daughter Of Kurdland: A Life Dedicated to Humankind,Widad Akreyi,No encontrado,2019,"['history', 'autobiography', 'memoir']",53,4.74,http://www.goodreads.com/book/show/55506538-the-daughter-of-kurdland
From Brexit to Brazil,John Richard Spencer,No encontrado,2019,"['drama', 'contemporary', 'epic', 'fiction', 'novels']",526,4.29,http://www.goodreads.com/book/show/50905836-from-brexit-to-brazil
The Grim Reaper,William Hanna,No encontrado,2020,['contemporary'],482,4.26,http://www.goodreads.com/book/show/52445828-the-grim-reaper
"My Death Experiences - A Preacher’s 18 Apocalyptic Encounter with Death, Heaven & Hell.",Zion Odum,No encontrado,2014,[],27,4.63,http://www.goodreads.com/book/show/22031070-my-death-experiences---a-preacher-s-18-apocalyptic-encounter-with-death
Angles - Part I,Erin Lockwood,No encontrado,2016,[],56,4.43,http://www.goodreads.com/book/show/31818553-angles---part-i
Mallard the Quack,Adam Nicke,No encontrado,2020,[],33,4.76,http://www.goodreads.com/book/show/53445362-mallard-the-quack
MARS,Jasmine  Rose,No encontrado,2014,[],70,4.39,http://www.goodreads.com/book/show/23279048-mars
Herodotus 7-9,Herodotus,No encontrado,430,"['history', 'classics', 'non-fiction']",137,3.95,http://www.goodreads.com/book/show/2533529.Herodotus_7_9
The Broken Rose,Jeremy Forsyth,No encontrado,2017,"['fantasy', 'adventure', 'fiction']",60,4.42,http://www.goodreads.com/book/show/36440205-the-broken-rose
Pack's Posse (Simon Pack Book 8),John M. Vermillion,No encontrado,2020,"['drama', 'epic', 'fiction', 'contemporary', 'novels']",487,4.34,http://www.goodreads.com/book/show/54331661-pack-s-posse
What You Are Not Being Told about Vaccines: The Year of Truth 2019,Sharon Storm,No encontrado,2019,[],253,4.87,http://www.goodreads.com/book/show/44663953-what-you-are-not-being-told-about-vaccines
"The Maze Runner Trilogy (Maze Runner, #1-3)",James Dashner,No encontrado,2012,"['young-adult', 'science-fiction', 'dystopia', 'fiction', 'fantasy', 'science-fiction', 'mystery', 'young-adult', 'teen', 'apocalyptic', 'post-apocalyptic', 'adventure', 'action']",8284,4.19,http://www.goodreads.com/book/show/17292676-the-maze-runner-trilogy
The Assistant,Elle Brace,No encontrado,2014,"['romance', 'romance', 'contemporary-romance', 'contemporary', 'womens-fiction', 'chick-lit', 'humor', 'new-adult', 'love', 'adult-fiction', 'erotica', 'romance', 'm-f-romance']",3210,3.97,http://www.goodreads.com/book/show/22079615-the-assistant
Rembulan Tenggelam Di Wajahmu,Tere Liye,No encontrado,2009,"['novels', 'fiction', 'asian-literature', 'indonesian-literature', 'romance', 'drama', 'inspirational', 'philosophy', 'literature', 'fantasy', 'family']",9380,4.3,http://www.goodreads.com/book/show/1376124.Rembulan_Tenggelam_Di_Wajahmu
King of Wands (Kings of the Tarot Book 2),Anna Durbin,No encontrado,2020,"['epic', 'fiction', 'contemporary', 'novels', 'drama', 'romance', 'historical-romance']",327,4.29,http://www.goodreads.com/book/show/55318134-king-of-wands
The Infinite Jeff: A Parable of Change (Part 1),Will Holcomb,No encontrado,2012,['spirituality'],90,4.68,http://www.goodreads.com/book/show/18150272-the-infinite-jeff
"The Removable Root Cause of Cancers and other Chronic Diseases : The Effort Theory of Evolution, Chronic Diseases and Extinction",Paul Ola,No encontrado,2020,"['science', 'health']",14,3.86,http://www.goodreads.com/book/show/55431329-the-removable-root-cause-of-cancers-and-other-chronic-diseases
On the Other Hand: The Little Anthology of Big Questions,Renée Paule,No encontrado,2013,"['philosophy', 'non-fiction', 'self-help', 'inspirational', 'spirituality']",77,4.42,http://www.goodreads.com/book/show/52660896-on-the-other-hand
Blackout,Al   Stone,No encontrado,2014,['young-adult'],46,4.83,http://www.goodreads.com/book/show/13495579-blackout
